ego	alter	pair	tie	village_code_ego	village_code_alter	T2	T1
4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------00000122222223333444445566666778888889999aaaaaaabbbccccdddeeeeeefffflnoz	yes	26	26	0.2631578947368421	0.10526315789473684
blkH-76ab9730-78c6-416e-b93b-60f97275edea	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------00000122222333344556666667777778888999999aaaaaaabbbbccccdddeeeeefffHklnz	none	26	26	0.07407407407407407	0.1875
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------0000011222222233334444566777888888999999aaaaaaaabbccccddddddeeEfffffnrsz	none	26	26	0.17391304347826086	0.10714285714285714
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------00000011222233344455566666777778888889999aaaaaabbbbbbcccdddeeeeffffHklnz	none	26	26	0.1	0.07407407407407407
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------000000001112222223334455666677788888888889999aaaaaabccccddeeeEffffffnrsz	none	26	26	0.0625	0.05
+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------+000011222223334444445566677788888999999aaaaaaaaaabcccddddeeeeffffffnVYz	none	26	26	0.08333333333333333	0
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------0000111222222233333444445556677788888999aaaaaaaaabbbccccccdddeeEffffnrsz	none	26	26	0.05	0.08333333333333333
4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------0001112222222233333334444455566667778889999aaaabbbbbcccccddeeeeeeffHkllo	none	26	26	0.1	0
blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------0001112222223333333445556666677777778999999aaaabbbbbbcccccddeeeeefHHkkll	none	26	26	0.05555555555555555	0.06
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------000111122222222333333344445567777888999999aaaaabbbbcccccdddddeeEfffHklrs	yes	26	26	0.14285714285714285	0.10526315789473684
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------0000111122222333333444555566667777778889999aaabbbbbbbbccccddeeeeffHHkkll	none	26	26	0.05263157894736842	0.043478260869565216
