gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
TRUE	FALSE	FALSE	TRUE	TRUE	9	20.5	2	2	1	4.5	FALSE	0	2.0408163265306123	21	0.7059877117963139
FALSE	TRUE	FALSE	TRUE	TRUE	2	34	0	2	2	2	FALSE	0	7.6923076923076925	21	0.4487671243835624
FALSE	FALSE	TRUE	FALSE	TRUE	4	30	0	1	2	6	FALSE	0	11.009174311926607	21	0.5361578927684225
TRUE	FALSE	FALSE	TRUE	TRUE	15	26.5	0	3	2	4	FALSE	0	7.142857142857142	21	0.535689383922346
FALSE	FALSE	TRUE	FALSE	TRUE	7	50.5	3	2.5	2	1	FALSE	0	2.5	21	0.5705722926430736
FALSE	FALSE	TRUE	FALSE	TRUE	2	25	1	1.5	0	5	FALSE	0	15.384615384615385	21	0.5350874789475127
FALSE	TRUE	TRUE	FALSE	TRUE	11	24.5	1	3.5	4	4	FALSE	0	8.333333333333332	21	0.5197073759853691
TRUE	FALSE	FALSE	TRUE	TRUE	15	30.5	2	2	3	2.5	FALSE	0	10.256410256410255	21	0.6656887997066405
FALSE	FALSE	TRUE	FALSE	TRUE	14	60	1	3.5	0	0	FALSE	0	4.651162790697675	21	0.6206554327705988
FALSE	TRUE	FALSE	FALSE	FALSE	3	17.5	3	2.5	2	4	FALSE	0	3.260869565217391	21	0.5207996677201167
TRUE	FALSE	FALSE	TRUE	FALSE	43	37.5	1	3.5	2	4	FALSE	0	3.79746835443038	21	0.6722087163895647
FALSE	FALSE	FALSE	FALSE	TRUE	20	27	2	2	3	4.5	FALSE	0	9.375	21	0.6011693800584702
FALSE	TRUE	TRUE	FALSE	TRUE	14	50	0	3	1	0.5	FALSE	0	0	21	0.9079890539945265
FALSE	TRUE	TRUE	FALSE	TRUE	16	35	1	1.5	3	3.5	FALSE	0	4.545454545454546	21	0.5675538432446161
TRUE	FALSE	FALSE	TRUE	FALSE	33	32.5	3	2.5	3	3.5	FALSE	0	12.857142857142856	21	0.684387720928596
FALSE	TRUE	TRUE	FALSE	TRUE	5	33.5	3	3.5	2	4	FALSE	0	7.142857142857142	21	0.4889680321707795
FALSE	TRUE	FALSE	TRUE	TRUE	3	35.5	0	3	3	1.5	FALSE	0	5.357142857142857	21	0.5801313110590892
FALSE	TRUE	FALSE	TRUE	FALSE	27	31.5	3	2.5	5	2.5	FALSE	0	0	21	0.9005536403321835
FALSE	FALSE	TRUE	FALSE	TRUE	17	24.5	0	2	1	5.5	FALSE	0	4.166666666666666	21	0.5494304126423969
FALSE	FALSE	FALSE	FALSE	TRUE	8	25	0	2	2	4	FALSE	0	8.256880733944955	21	0.4748141111477613
TRUE	FALSE	TRUE	FALSE	TRUE	9	33.5	2	2	4	3	FALSE	0	13.414634146341465	21	0.6293026443953974
FALSE	TRUE	TRUE	FALSE	TRUE	4	21	1	4.5	2	5	FALSE	0	18.96551724137931	21	0.4888579699860874
FALSE	FALSE	TRUE	FALSE	TRUE	32	43	2	2	5	2.5	FALSE	0	3.79746835443038	21	0.5485742677138611
TRUE	FALSE	FALSE	TRUE	TRUE	16	24	1	2.5	1	5.5	FALSE	0	6.451612903225806	21	0.47369197894620374
FALSE	TRUE	FALSE	TRUE	TRUE	26	31	2	2	5	2.5	FALSE	0	13.432835820895523	21	0.6764751941148838
TRUE	FALSE	TRUE	FALSE	TRUE	8	33	1	3.5	2	4	FALSE	0	5.714285714285714	21	0.5996028199205643
FALSE	TRUE	TRUE	FALSE	TRUE	5	31.5	1	2.5	5	2.5	FALSE	0	11.510791366906476	21	0.5417902458209755
FALSE	FALSE	FALSE	TRUE	TRUE	3	22.5	2	3	3	4.5	FALSE	0	7.017543859649122	21	0.6979348510325735
FALSE	TRUE	TRUE	FALSE	TRUE	20	47	2	3	6	3	FALSE	0	10.975609756097562	21	0.5609180926426649
FALSE	FALSE	FALSE	TRUE	FALSE	3	20.5	1	2.5	0	4	FALSE	0	13.684210526315791	21	0.5514946878736713
FALSE	TRUE	TRUE	FALSE	TRUE	34	42	2	2	3	1.5	FALSE	0	0	21	0.4815814777627785
FALSE	TRUE	TRUE	FALSE	TRUE	10	32	1	2.5	5	2.5	FALSE	0	2.3255813953488373	21	0.5735670066082478
FALSE	TRUE	FALSE	TRUE	TRUE	12	22	2	2	1	6.5	FALSE	0	3.389830508474576	21	0.6157895960526012
FALSE	FALSE	TRUE	FALSE	TRUE	1	27.5	2	2	2	6	FALSE	0	8.60215053763441	21	0.6175358617535862
FALSE	TRUE	FALSE	TRUE	TRUE	35	33.5	1	2.5	6	3	FALSE	0	4.081632653061225	21	0.5465649267175362
FALSE	TRUE	TRUE	FALSE	TRUE	1	34.5	0	2	3	1.5	FALSE	0	3.076923076923077	21	0.6753474999999998
FALSE	FALSE	FALSE	TRUE	FALSE	3	27.5	2	3	1	3.5	FALSE	0	8.91089108910891	21	0.721983922412862
FALSE	TRUE	TRUE	FALSE	TRUE	10	38	1	3.5	2	2	FALSE	0	5.172413793103448	21	0.5231905423929074
