a2701_numeric_max	a2702_numeric_max	strain_sharing_rate
3	1	9.30232558139535
4	1	5.555555555555555
3	3	9.722222222222223
4	1	1.1904761904761905
2	2	3.076923076923077
4	4	12.380952380952381
4	4	19.753086419753085
3	1	9.195402298850574
4	4	2
4	2	5.042016806722689
4	1	14.285714285714285
4	3	4.054054054054054
1	2	38.961038961038966
4	4	5.063291139240507
4	4	19.230769230769234
4	4	16.50485436893204
4	1	8.974358974358974
4	4	2.631578947368421
4	4	24.137931034482758
4	4	10.76923076923077
4	4	7.865168539325842
4	4	7.954545454545454
4	4	13.157894736842104
4	4	10.112359550561797
4	3	7.228915662650602
2	1	2.4691358024691357
4	4	17.75700934579439
4	4	6.8181818181818175
3	1	10
4	4	18.91891891891892
4	3	10.256410256410255
4	4	12.676056338028168
4	2	9.859154929577464
4	4	12.32876712328767
4	4	3.75
4	3	23.943661971830984
4	4	3.79746835443038
4	4	10.126582278481013
4	4	11.363636363636363
4	3	6.547619047619048
4	4	9.090909090909092
2	2	25
4	4	44.285714285714285
4	3	17.1875
4	4	30.76923076923077
4	4	17.142857142857142
4	4	18.26086956521739
4	4	7.246376811594203
4	4	27.43362831858407
4	1	11.235955056179774
4	4	36.17021276595745
4	4	25
4	3	22.058823529411764
4	4	6.779661016949152
2	1	8.333333333333332
3	1	7.8125
4	4	27.710843373493976
4	4	14.814814814814813
4	2	17.741935483870968
4	4	19.51219512195122
4	3	16.901408450704224
4	4	22.033898305084744
3	1	2.127659574468085
4	4	14.285714285714285
4	4	17.346938775510203
4	4	23.214285714285715
1	1	2.272727272727273
4	4	12.307692307692308
4	4	6.944444444444445
4	4	10.1010101010101
